"DIAKOVERE Friederikenstift,5, 1 Stern ,vor einer Woche,Gefällt mir,""Als ehemaliger Arzt eines Krankenhauses kann ich mich nur wundern über die """"Behandlung"""" eines guten Freundes, die unserem Stand sicherlich unwürdig und beschämend war. Ich erkenne an, dass in dieser Zeit alle im Stress sind, was aber keinesfalls zu Fehldiagnosen führen darf. Mein Freund wurde wohl wider besserem Wissens nach Haus entlassen. Ich habe dafür gesorgt, dass er von da aus in ein anderes Krankenhaus transportiert wurde. Dort wurde ihm dann fachgerecht und vor allem menschlich geholfen.""";;;
"DIAKOVERE Friederikenstift,5, 5 Sterne ,vor einem Jahr,1,""Sehr freundliches und kompetentes Servicepersonal. Ärzte die sowohl Beschwerden, als auch Ängste ernst nehmen und vertrauensvoll beraten. Habe mich sehr gut aufgehoben gefühlt. Lieben Dank. 👍🏼🍀🌞""";;;
DIAKOVERE Friederikenstift,5, 5 Sterne ,vor 2 Wochen,Gefällt mir,Trotz Stress wg. Corona und offensichtlichem Arbeiten am Limit gibt das Personal sein Bestes. Natürlich ist das KH recht alt und es ist alles nicht so nice und modern aber ich habe hier schließlich auch keinen Wellness-Urlaub gebucht sondern landete mit schwerem BSV und Schmerzen wie Sau in der Notaufnahme. Ich bin sehr dankbar für die überaus großzügige Medikation an Schmerzmitteln und dem schnellen Handeln hinsichtlich Op. Das Essen ist wirklich nicht so toll aber das überlebt man problemlos. Nochmals Danke....;;;
"DIAKOVERE Friederikenstift,5, 1 Stern ,vor einer Woche,Gefällt mir,""Würde am liebsten 0 Sterne vergeben. Frechheit das Personal.der Security  am Empfang heute morgen hat meine Mutter fertig gemacht und angeschrien das die arme gar nicht wusste wie ihr geschieht. Weiß nicht wofür die sich auf einmal halten. Wahrscheinlich wegen der ach so tollen Uniform, nützt nur leider nichts wenn man vorher nix gescheites gelernt hat. Krankenhauspersonal war nett aber der security von heute morgen ist definitiv zu Aggressiv für diesen Beruf.""";;;
"DIAKOVERE Friederikenstift,5, 5 Sterne ,vor 9 Monaten,4,""Ich war auf Grund eines Bandscheibenvorfalls zu Erst in der Notaufnahme und später für vier Tage auf der Station 4 Süd.";;;
;;;
Ich bin sowohl von den Pflegern, Schwestern und den Ärzten begeistert.;;;
Man nimmt sich Zeit, erklärt und erläutert Dinge und Fragen. Alle sind trotz Stress immer nett und zuvorkommend.;;;
;;;
Der Service rund um das Ganze (Essen ordern, Radiologie etc.) ist Klasse.;;;
Hab mich trotz oder gerade wegen starker Schmerzen sehr gut aufgehoben gefühlt.;;;
Es wurde sich Zeit genommen und auf Probleme auf Grund der Erkrankung eingegangen.;;;
;;;
Dank der Corona-Lockerungen war es möglich Besuch zu empfangen.;;;
;;;
Da ich mich gegen eine OP entschieden habe, wurde ich zum Wochenende entlassen. Der Orthopädie ist jetzt am Zug.;;;
;;;
Einziges Manko war, dass die Madratze für mich nicht gut war. Sie war zwar fest, jedoch zu dünn. Ich konnte die Gelenke bzw. Kanten des Hebe-/Pflegebettes spüren. Sie drückten immer auf meinen Vorfall im Lendenwirbel. Hat die Schmerzen dadurch nicht reduziert, sondern immer wieder gereizt.;;;
Ich war aber froh überhaupt liegen zu können, bei meinen Schmerzen.;;;
;;;
"Ich würde trotzdem bei Bedarf immer wieder kommen. Nur auf das Bett besser achten!""";;;
"DIAKOVERE Friederikenstift,5, 1 Stern ,vor 2 Monaten,4,""Das schrecklichste Krankenhaus in dem ich je behandelt wurde. Trotz das ich aufgrund meiner Behinderung von der Maske befreit bin wurde ich während einer Untersuchung dazu gezwungen eine Maske zu tragen, die Ärztin drückte mir die Maske sogar noch richtig aufs Gesicht. Es dauerte keine 2 Minuten bis ich kolabiert bin und anstatt einer Entschuldigung bekam ich noch dumme Sprüche von den Krankenschwestern zu hören. Nie wieder...""";;;
"DIAKOVERE Friederikenstift,5, 5 Sterne ,vor 3 Monaten,1,""Super Krankenhaus, tolle Chirurgen, liebe Schwester und Pfleger auf der Station 2 Süd. Ich habe mich gut aufgehoben gefühlt. Und nach verpfuschter Vorsorge eines andern Krankenhaus wurde mein Daumen hier vom Ärzte Team gerettet 👍""";;;
"DIAKOVERE Friederikenstift,5, 5 Sterne ,vor 5 Monaten,3,""Mein Baby wurde hier geboren. Die Hebamme und die Krankenschwester sind sehr nett und freundlich. Die Mahlzeit von Krankenhaus hat mir gut geschmeckt. Die Hygiene von Krankenhaus ist super. Meine Geburt wurde von eine Hebamme, sie immer Nachtdienst hat, geholfen. Sie ist sehr freundlich und sie hat viele Erfahrungen. ❤️👶🍼😽""";;;
"DIAKOVERE Friederikenstift,5, 5 Sterne ,vor 5 Monaten,2,""Die Geburt unseres zweiten Kindes verlief mit Komplikationen, so dass meine Frau auf die Intensivstation in das Friederikenstift verlegt werden musste. Ich kam quasi mit dem Baby unter dem Arm hinterher. Ich bin immer noch begeistert davon, wie gut wir hier alle betreut wurden. Es wurde sofort ein Familienzimmer bereitgestellt, ein gut eingespieltes Team aus Hebammen, Krankenschwestern und Ärzten hat sich hervorragend um uns gekümmert und uns durch diese turbulenten Tage geholfen. Wir möchten dafür auch nach 3 Jahren noch einmal herzlich """"Danke"""" sagen!""";;;
"DIAKOVERE Friederikenstift,5, 5 Sterne ,vor 5 Monaten,1,""Also ich war mit Krankenwagen angekommen , und von Anfang bis zu Ende war ich komplett nett freundliche behandelt . War 7 Tage stationiert und alle Mitarbeiter Station 2 Mitte war komplett super , mehr konnte ich nicht erwarten .";;;
;;;
"Vielen vielen Dank""";;;
DIAKOVERE Friederikenstift,5, 1 Stern ,vor 4 Monaten,6,Sehr unfreundliches Personal. Habe 4 Tage hier im Krankenhaus übernachtet hatte Nachts Schmerzen das ich kein Luft mehr bekamm als ich den Notfall Knopf drückte meinte die Krankenschwester zu mir das das kein Notfall sei ich nicht mehr den Knopf drücken soll  bilden sie ihre Mitarbeiter besser aus und Freundlichkeit wäre ein Vorteil! Keiner ist hier im Krankenhaus aus Spaß hier!;;;
"DIAKOVERE Friederikenstift,5, 5 Sterne ,vor 2 Wochen,Gefällt mir,""Sehr kompetente Wiederherstellung versorgung  nach einer schweren  Daumen Verletzungen  im September 20 nach meiner Erfahrung , mit Handvertzung  kommt für mich nur diese Klinik an meine Hände !!! Danke an das Team""";;;
