Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor einer Woche,Gefällt mir,Ich wurde sehr zuvorkommend behandelt und hatte tatsächlich überhaupt keine Wartezeiten. Auch der Eingriff selbst war ohne Komplikationen und Nachwirkungen. Sehr freundliches Personal!  und gute Aufklärung von Ärzten. Kann nur weiter empfehlen.;;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 2 Monaten,Gefällt mir,""Ich war bereits aufgrund von Notfällen   in der Augenklinik von DR. Hoffmann und habe nur beste Erfahrungen gesammelt.";;
;;
Heute war ich selbst an der Reihe und hatte einen Notfall, da ich spitzen und scharfen Splitter ins auge bekommen hatte. Ich wurde bereits am telefon bestens beraten und aufgefordert schnellstmöglichst zu kommen.;;
;;
Alles fand unter erstklassigen corona schutzbedingungen statt und die Sprechstunden waren sehr freundlich. Ich musste zwar ein wenig warten, doch ich wurde stets informiert, wann es so weit sein würde.;;
;;
"Diesmal wurde ich von einer freundlichen und hübschen Ärztin behandelt, die einen erstklassigen Job machte.""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 5 Tagen,Gefällt mir,""Hier arbeiten Spezialisten. Super kompetent. Alle sind freundlich und nehmen sich die Zeit, die wir Patienten brauchen. Jederzeit wieder!""";;
Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor einem Monat,Gefällt mir,Ich wurde sehr zuvorkommend behandelt und hatte tatsächlich überhaupt keine Wartezeiten. Auch der Eingriff selbst war ohne Komplikationen und Nachwirkungen. Ich kann nur gutes berichten.;;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor einer Woche,Gefällt mir,""Zunächst erst einmal gibt es ein ganz tolles Vorbereitunsperdonal. Die Ärztinnen und Ärzte haben nochmals genau erklärt, was sie tun wollen. Nach der OP gute Nachsorge. Sehr zufrieden.""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor einem Monat,Gefällt mir,""Sehr gute Klinik und ich habe kaum Wartezeit erlebt, obwohl viele sich darüber beschweren! Richtig freundliches Personal und gute Aufklärung von Ärzten. Kann nur weiter empfehlen.""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 4 Tagen,Gefällt mir,""So muss sich mein Jaguar in seiner Werkstatt fühlen: perfekt organisiert, sehr freundlich, kompetente Fachleute, da kann man auch über die geringe Empathie hinwegsehen, der Jaguar wird ja auch nicht bedauert und gestreichelt😎😎""";;
Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 3 Wochen,Gefällt mir,Die Betreuung und Versorgung vor und nach der OP (grauer Star) war hervorragend. Das Ergebnis hat all meine Erwartungen bis jetzt übertroffen. Ich würde bei Bedarf jederzeit wieder die Augenklinik Dr. Hoffmann wählen.;;
Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor einem Monat,Gefällt mir,Sehr gute Klinik und freundliches Personal! Fühle mich hier richtig gut aufgehoben. Immer gute Aufklärung und kompetente Hilfe.;;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 3 Monaten,1,""Da ich telefonisch keinen Kontakt bekam,, begab ich mich persönlich zur Sprechstunde. Ich kam als „Notfall“ am Freitag kurz vor dem Wochenende.Das Team war sehr freundlich, ich wurde gründlich untersucht und auch der Arzt war sehr kompetent und führte den kleinen Eingriff schmerzfrei durch.Obwohl relativ viele Patienten noch vor Ort waren, verlief der gesamte Aufenthalt äußerst koordiniert und sehr schnell. Gern wieder beim nächsten Problem 👍""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 5 Monaten,Gefällt mir,""Ich war bisher 2 mal in der Augenklinik in der Sprechstunde. Ich fühlte mich bisher beide male dort gut aufgehoben und beraten. Alle Mitarbeiter dort waren freundlich, trotz dass viel los war. Auch die Augenärztin die mich untersucht hat war Top. Ich würde gründlich untersucht. Ich werde weiterhin zur Augenklinik gehen. Mit Bus und Straßenbahn gut zu erreichen.""";;
"Augenklinik Dr. Hoffmann,0, 4 Sterne ,vor einem Monat,Gefällt mir,""Gute Behandlung";" kaum Wartezeiten. Etwas unruhiger/enger OP-Bereich, aber alles sehr professionell.""";
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor einem Monat,Gefällt mir,""Mit diesen Zeilen möchte sich meine Frau herzlich bedanken. Dass Erste was sie sagte war, dass sie seit langer Zeit wieder so einen blauen Himmel sah !""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor einem Monat,Gefällt mir,""Hallo zusammen,";;
"die Sehschule in Ihrer Klinik, ist sehr kompetent und sehr nett im Umgang der Patientin und Patienten. Ein Lob einmal für Frau Behrends! Vielen Lieben Dank für Ihre Mühe.""";;
Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 7 Monaten,Gefällt mir,Ich war letzte Woche mit meinem Sohn (4) dort gewesen und diesmal auch mit Termin und es ging alles sehr zügig.. Schneller als gedacht.. Wirklich freundliches Personal auch in Bezug auf meinen kleinen...Er  hat sich echt wohl gefühlt.. Kein Theater und hat alles mitgemacht und das alles trotz der aktuellen Situation..Wir waren vor ca 2 Jahren auch schon mal da..damals in der offenen Sprechstunde aber auch da waren Wartezeiten voll im Rahmen..Kann die Augenklinik nur empfehlen.. Weiter so;;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 6 Tagen,Gefällt mir,""Rundum sehr zufrieden, mit em Ablauf und der Betreuung.";;
Vielen Dank für das Brötchen und den Kaffee danach.;;
"Bleiben Sie alle gesund. Mit einem frohen """"Glück Auf"""" aus Clausthal-Zellerfeld, Gunter Krause""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 2 Monaten,Gefällt mir,""Gesamtes Team sehr nett und aufmerksam.";;
"Auf meine Bedürfnisse mit Verständnis eingegangen und mir zur Seite gestanden.""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 6 Monaten,Gefällt mir,""Die Augenklinik Dr. Hoffmann ist nur zu empfehlen. Es gab bei meinen Besuchen und meiner OP keine Komplikationen oder längere Wartezeiten. Alle Mitarbeiter sind sehr nett. Es sind zwar immer viele Patienten vor Ort, aber es ist ein guter und schneller Ablauf!""";;
"Augenklinik Dr. Hoffmann,0, 1 Stern ,vor 6 Monaten,1,""MUTTER WIRD RAUSGESCHMISSEN WEGEN MANGEL AN BETREUUNG.";;
;;
Durch die ganze Corona krise war das Personal der Meinung mich trotz Termin nicht meinen Termin wahrnehmen lassen zu können. Ich war mit meiner Tochter dort, weshalb sie mich nicht reingelassen haben. sie waren der Meinung das Kind könnte nicht alleine draußen warten und dürfte auch nicht mit reinkommen.;;
"Meine Tochter hat noch keinen kitaplatz deshalb ich sie auch nicht abgeben konnte. Meine anfahrtszeit beträgt ca anderthalb Stunden und dies alles umsonst.""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor einem Monat,Gefällt mir,""Guten Tag liebes Op Team ! Ich bin wirklich richtig zufrieden   Mein erstes Auge wurde sehr gut operiert und nun das zweite auch hier , sehr gut. Trotz Wartezeit, aber wir wurden nett unterhalten im Vorraum zum Operationssaal. Sehr nette Schwestern und der lustige Anästhesiepfleger Alexander haben mir die Angst  genommen. Weiterhin ist die Anästhesistin zu erwähnen , Frau Wegener? Ich habe leider den Namen vergessen. So aufmerksam und zugewandt, das habe ich in meiner Krankheitslaufbahn, sehr selten erlebt. Wirklich sehr sehr nett. Auch die Schwestern im Wartezimmer waren wirklich nett. Operiert hat mich Dr. Geck, es gab auch während der Op noch lustige Kommentare! Vielen lieben Dank.";;
"Was vielleicht noch wichtig ist , an beiden Tagen gab es nach der Operation etwas zu essen. Auch hier : lecker und gut. Vielen Dank für ihre Arbeit.""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 5 Monaten,1,""Ich hatte einen Termin mit meinem 5-jährigen Sohn, mit dessen Behandlung ich bei einem anderen Arzt nicht zufrieden war ( 2 Brillen innerhalb von 3 Monaten, widersprüchlicher Sehtest... ). Ich bekam recht zügig einen Termin, wurde ernst genommen und alle MA waren sehr freundlich. Es hat zwar etwas Wartezeit gekostet, aber mein Sohn wurde sehr sehr gründlich untersucht ( und braucht auch keine Brille mehr ).""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor einem Monat,Gefällt mir,""Nettes und freundliches Personal, nach kurzem Eingriff kann ich wieder alles in HD sehen.";;
"Vielen dank!!!!""";;
"Augenklinik Dr. Hoffmann,0, 5 Sterne ,vor 2 Monaten,Gefällt mir,""Ich habe an beiden Augen die natürliche Linse durch Bi-Fokale-Linsen ersetzen lassen.";;
In der Augenklinik wurde ich sehr professionell beraten.;;
"Die OP verlief sehr unkompliziert und problemlos. Das Personal ist sehr freundlich. Ich bin rundum zufrieden.""";;
